1,,advancedcatalysers,3039,0,0,3512,101082
2,,advancedmedicines,1485,0,0,1774,5418
3,,advert1,21542,15484,0,15481,0
4,,aerialedenapple,8331,494,0,493,0
5,,agriculturalmedicines,1231,653,0,652,0
6,,agronomictreatment,3105,0,0,3165,13
7,,alacarakmoskinart,8899,1138,0,1137,0
8,,albinoquechuamammoth,9687,2032,0,2031,0
9,,alexandrite,217277,0,0,231989,786
10,,algae,356,39,0,38,0
11,,alieneggs,25067,19485,0,19481,0
12,,altairianskin,8432,608,0,607,0
13,,aluminium,551,374,113042,347,1
14,,alyabodilysoap,8218,365,0,364,0
15,,ancientcasket,16294,7097,0,7095,0
16,,ancientkey,29931,12893,0,12890,0
17,,ancientorb,17415,7592,0,7590,0
18,,ancientrelic,24962,11462,0,11460,0
19,,ancienttablet,17415,7592,0,7590,0
20,,ancienttotem,20437,9249,0,9247,0
21,,ancienturn,14907,5509,0,5508,0
22,,anduligafireworks,8519,707,0,706,0
23,,animaleffigies,8399,571,0,570,0
24,,animalmeat,1539,0,0,1940,4421
25,,animalmonitors,537,176,0,175,0
26,,antiquejewellery,183163,139376,0,139351,0
27,,anynacoffee,9160,1434,0,1433,0
28,,apavietii,10362,2798,0,2797,0
29,,aquaponicsystems,524,158,0,157,0
30,,aroucaconventualsweets,8737,954,0,953,0
31,,articulationmotors,7588,4644,0,4643,0
32,,assaultplans,26074,13772,0,13769,0
33,,atmosphericextractors,571,247,0,246,0
34,,autofabricators,3827,2510,0,2509,0
35,,azcancriformula42,12440,5155,0,5154,0
36,,bakedgreebles,8211,358,0,357,0
37,,baltahsinevacuumkrill,8479,662,0,661,0
38,,bankiamphibiousleather,8338,502,0,501,0
39,,basicmedicines,493,0,0,315,517
40,,bastsnakegin,8659,866,0,865,0
41,,bauxite,1140,0,0,1556,126029
42,,beer,430,0,0,698,26758
43,,belalansrayleather,8519,707,0,706,0
44,,benitoite,149395,0,0,162258,786
45,,bertrandite,18817,0,0,21131,92795
46,,beryllium,8243,7648,2603,7559,1
47,,bioreducinglichen,1204,609,0,608,0
48,,biowaste,358,93,1787,56,1
49,,bismuth,2441,2206,69282,2150,1
50,,bluemilk,10805,3300,0,3299,0
51,,bootlegliquor,783,58,0,57,0
52,,bromellite,30424,19443,0,19439,0
53,,buckyballbeermats,7957,70,0,69,0
54,,buildingfabricators,2312,0,0,2876,12960
55,,burnhambiledistillate,8466,646,0,645,0
56,,cd75catcoffee,9571,1900,0,1899,0
57,,centaurimegagin,10217,2633,0,2632,0
58,,ceramiccomposites,415,210,7366,179,1
59,,ceremonialheiketea,9251,1538,0,1537,0
60,,cetiaepyornisegg,9769,2125,0,2124,0
61,,cetirabbits,9079,1342,0,1341,0
62,,chameleoncloth,9071,1333,0,1332,0
63,,chateaudeaegaeon,8791,1015,0,1014,0
64,,chemicalwaste,672,21,0,20,0
65,,cherbonesbloodcrystals,16714,10006,0,10004,0
66,,chieridanimarinepaste,8450,629,0,628,0
67,,classifiedexperimentalequipment,11423,4002,0,4001,0
68,,clothing,546,0,0,778,15939
69,,cmmcomposite,5988,5479,333,5413,1
70,,cobalt,3762,3082,18363,2943,1
71,,coffee,1499,0,0,1940,1433
72,,coltan,6163,0,0,7433,85686
73,,comercialsamples,1815,741,0,740,0
74,,computercomponents,776,330,0,329,0
75,,conductivefabrics,709,511,26301,478,1
76,,consumertechnology,6690,0,0,7585,2393
77,,coolinghoses,1886,795,0,794,0
78,,copper,689,511,131527,478,1
79,,coquimspongiformvictuals,8077,206,0,205,0
80,,cropharvesters,2230,1449,0,1448,0
81,,cryolite,12173,0,0,14407,129709
82,,crystallinespheres,12216,4902,0,4901,0
83,,damnacarapaces,8120,254,0,253,0
84,,datacore,6791,4078,0,4077,0
85,,deltaphoenicispalms,8188,331,0,330,0
86,,deuringastruffles,9232,1515,0,1514,0
87,,diagnosticsensor,6727,4644,0,4643,0
88,,diplomaticbag,28625,17580,0,17576,0
89,,disomacorn,8134,270,0,269,0
90,,domesticappliances,740,0,0,1092,6173
91,,duradrives,19356,13004,0,13001,0
92,,earthrelics,15161,10023,0,10021,0
93,,eleuthermals,8507,693,0,692,0
94,,emergencypowercells,2368,1449,0,1448,0
95,,encripteddatastorage,8313,4274,0,4273,0
96,,encryptedcorrespondence,8226,4158,0,4157,0
97,,eraninpearlwhisky,9040,1298,0,1297,0
98,,eshuumbrellas,9343,1642,0,1641,0
99,,esusekucaviar,9625,1962,0,1961,0
100,,ethgrezeteabuds,10197,2610,0,2609,0
101,,evacuationshelter,522,0,0,315,122
102,,exhaustmanifold,1873,1109,0,1108,0
103,,explosives,512,342,27818,310,1
104,,fish,650,0,0,952,13035
105,,foodcartridges,265,0,0,141,382
106,,fossilremnants,11785,7609,0,7607,0
107,,fruitandvegetables,509,0,0,851,5169
108,,fujintea,8597,795,0,794,0
109,,galactictravelguide,8627,359,0,358,0
110,,gallite,11915,0,0,13583,139293
111,,gallium,5203,4770,37414,4655,1
112,,geawendancedust,8618,819,0,818,0
113,,genebank,59082,39725,0,39718,0
114,,geologicalequipment,1886,0,0,2130,1048
115,,geologicalsamples,8313,4274,0,4273,0
116,,gerasiangueuzebeer,8215,362,0,361,0
117,,giantirukamasnails,9174,1450,0,1449,0
118,,giantverrix,12496,5219,0,5218,0
119,,gold,47610,44609,4530,44094,1
120,,gomanyauponcoffee,8921,1162,0,1161,0
121,,goslarite,5979,0,0,7605,279601
122,,grain,410,0,0,731,29568
123,,grandidierite,197292,0,0,213010,786
124,,haidneblackbrew,8837,1067,0,1066,0
125,,harmasilversearum,9762,2118,0,2117,0
126,,havasupaidreamcatcher,14639,7651,0,7649,0
127,,hazardousenvironmentsuits,570,0,0,634,63013
128,,heatsinkinterlink,2100,1267,0,1266,0
129,,heliostaticfurnaces,434,0,0,556,47582
130,,helvetitjpearls,10450,2898,0,2897,0
131,,hip10175bushmeat,9382,1686,0,1685,0
132,,hip41181squid,8947,1192,0,1191,0
133,,hiporganophosphates,8169,310,0,309,0
134,,hnshockmount,1922,1177,0,1176,0
135,,holvaduellingblades,12493,5216,0,5215,0
136,,honestypills,8860,1094,0,1093,0
137,,hr7221wheat,8190,334,0,333,0
138,,hydrogenfuel,113,84,57371,80,1
139,,hydrogenperoxide,3160,0,0,3082,191346
140,,imperialslaves,17499,0,0,17241,3037
141,,indibourbon,8806,1032,0,1031,0
142,,indite,11389,0,0,13103,60361
143,,indium,5845,5460,33790,5395,1
144,,insulatingmembrane,10724,7609,0,7607,0
145,,iondistributor,2363,1449,0,1448,0
146,,jadeite,42383,28773,0,28768,0
147,,jaquesquinentianstill,13845,6751,0,6749,0
148,,jaradharrepuzzlebox,16816,10121,0,10119,0
149,,jarouarice,8169,310,0,309,0
150,,jotunmookah,8780,1003,0,1002,0
151,,kachiriginleaches,8227,375,0,374,0
152,,kamitracigars,12282,4976,0,4975,0
153,,karetiicouture,11582,4182,0,4181,0
154,,karsukilocusts,8543,734,0,733,0
155,,kinagoinstruments,13030,5826,0,5824,0
156,,konggaale,8310,470,0,469,0
157,,korrokungpellets,8067,194,0,193,0
158,,lanthanum,8707,8146,2495,8051,1
159,,largeexplorationdatacash,255841,197260,0,197225,0
160,,lavianbrandy,10365,2802,0,2801,0
161,,leather,435,81,0,80,0
162,,leestianeviljuice,8220,367,0,366,0
163,,lepidolite,771,0,0,1136,368849
164,,lftvoidextractcoffee,9554,1881,0,1880,0
165,,liquidoxygen,1474,843,29931,749,1
